Name,786O_shARNT_1 - linear total reads,786O_shARNT_2 - linear total reads,786O_shARNT_3 - linear total reads,786O_shBMAL1_1 - linear total reads,786O_shBMAL1_2 - linear total reads,786O_shBMAL1_3 - linear total reads,786O_shBMAL2_1 - linear total reads,786O_shBMAL2_2 - linear total reads,786O_shBMAL2_3 - linear total reads,786O_shCNT_1 - linear total reads,786O_shCNT_2 - linear total reads,786O_shCNT_3 - linear total reads
FOCAD,2766.722193,2973.678647,2805.855859,3288.890473,3262.121779,2825.016668,3158.373533,2420.092842,2354.812672,3168.599876,3187.587558,3021.273532
FOCAD-AS1,5.928690415,4.979368129,1.009300669,1.00917167,0,4.977125913,8.059645378,11.98522169,3.752689518,2.028553057,3.032909189,1.021045465
HACD4,20.75041645,26.8885879,28.26041872,6.05503002,30.63984138,8.958826643,24.17893614,15.67298222,12.19624093,35.49967851,16.17551568,26.5471821
LOC105375989,0,0,0,1.00917167,2.042656092,0,0,0,0,1.014276529,0,0
IFNB1,0,0,0,0,0,0,0,1.843880261,0,1.014276529,0,0
IFNW1,0,1.991747252,0,1.00917167,1.021328046,0,0,0,0,0,0,0
LOC107987053,1.976230138,0.995873626,0,2.01834334,0,1.990850365,0,2.765820391,1.876344759,0,0,0
IFNA5,0,1.991747252,0,0,0,0,0,0,0,0,0,0
KLHL9,1146.21348,1184.093741,1057.747101,1163.574936,1443.136529,1239.304352,1243.2003,983.7101191,1017.917032,1087.304439,1094.880217,969.9931922
IFNA8,0,0,0,0,0,1.990850365,0,0,0,0,0,0
MIR31HG,241.1000769,216.1045768,228.1019511,348.1642262,357.4648161,328.4903102,95.70828887,77.44297095,59.1048599,186.6268813,207.2487946,177.661911
IFNE,4.940575345,4.979368129,4.037202674,8.07337336,3.063984138,13.93595256,3.022367017,0.92194013,1.876344759,5.071382644,0,3.063136396
LOC107987026,1.976230138,0,0,3.02751501,2.042656092,0,0,0,0,0,2.02193946,2.042090931
MTAP,1330.990998,1338.454153,1397.881426,1242.290326,1407.390047,1175.597141,1463.833092,1156.112923,1138.941269,1236.403089,1233.38307,1349.822105
CDKN2A,0,0,0,0,0,0,0,0,0,0,0,1.021045465
CDKN2B-AS1,0.988115069,0,0,0,0,0,0,0,0,0,0,0
DMRTA1,371.531266,343.5764009,317.9297106,449.0813932,443.256372,495.7217409,282.0875882,286.7233805,233.6049225,329.6398718,378.1026789,376.7657767
LINC01239,11.85738083,7.966989007,8.074405349,9.08254503,8.170624369,5.972551095,2.014911345,1.843880261,1.876344759,2.028553057,7.076788109,4.084181862
LOC107987054,0,0,0,0,0,0,0,0,0,2.028553057,0,0
LOC107987055,0,0,2.018601337,0,0,0,0,0,0,0,0,0
LOC101929563,0.988115069,0,4.037202674,0,1.021328046,1.990850365,0,0,0,0,2.02193946,3.063136396
ELAVL2,0,0,0,0,0,0,0,0,0,1.014276529,0,0
TUSC1,114.621348,122.492456,150.3857996,122.1097721,126.6446777,156.2817537,151.1183508,351.2591897,306.7823681,158.2271385,132.4370346,153.1568198
LOC105369289,0,0,0,0,0,0,0,0,0,0,1.01096973,0
LOC105376000,0,2.987620878,6.055804012,1.00917167,0,6.967976278,0,0,7.505379035,6.085659172,0,10.21045465
LOC107987028,0,0,0,1.00917167,0,0,0,0,0,0,0,0
CAAP1,708.4785045,776.7814282,656.0454346,626.6956071,773.1453309,809.2806734,571.2273662,814.9950753,865.9331062,683.6223804,635.89996,692.2688256
PLAA,2009.826051,2283.538224,2479.851743,1487.519042,1734.215022,1741.994069,3098.933648,2662.563097,2818.269828,2250.679617,2232.221163,2107.437841
IFT74,244.0644221,317.6836867,256.3623698,265.4121492,294.1424773,285.6870274,191.4165777,248.0018951,309.5968852,288.0545342,238.5888562,244.0298662
IFT74-AS1,6.916805484,0,5.046503343,5.04585835,0,0,0,0,0,0,0,0
LRRC19,0,0,0,1.00917167,0,0,0,0,0,1.014276529,0,0
TEK,0,4.979368129,8.074405349,9.08254503,9.191952415,7.96340146,9.067101051,5.531640782,1.876344759,6.085659172,12.13163676,9.189409189
MOB3B,8.893035622,11.95048351,5.046503343,21.19260507,16.34124874,16.9222281,7.052189706,5.531640782,3.752689518,4.057106115,11.12066703,2.042090931
LOC107987057,5.928690415,7.966989007,18.16741203,7.06420169,6.127968276,16.9222281,13.09692374,3.687760522,11.25806855,16.22842446,3.032909189,9.189409189
C9orf72,145.2529152,222.0798186,186.7206237,152.3849222,150.1352228,188.1353595,260.9310191,251.6896556,287.0807481,145.0415436,249.7095233,207.2722295
LINGO2,2.964345207,15.93397801,10.09300669,10.0917167,15.31992069,9.954251825,6.044734034,0,2.814517138,6.085659172,10.1096973,9.189409189
LOC105376004,0,0,0,0,0,0,0,1.843880261,0,0,0,0
LOC105376009,0,0,0,0,0,0,3.022367017,0,0,0,0,0
LOC107987059,0,0,0,0,2.042656092,0,0,0,0,0,0,2.042090931
ACO1,5276.534469,5295.060069,5262.493686,5961.177055,6073.83789,5605.239203,4414.670756,4189.295952,4169.238054,5210.338528,5355.106659,5001.08069
LOC105376014,61.26313428,70.70702744,66.61384413,75.68787525,74.55694736,54.74838504,60.44734034,29.50208417,41.27958469,68.97080395,80.87757838,62.28377339
DDX58,564.2137045,655.2848458,620.7199112,549.9985602,680.2044787,715.7107062,789.8452471,908.1110284,898.7691395,1081.21878,1096.902157,1123.150012
TOPORS,927.8400499,1000.852994,909.3799024,820.4565678,924.3018817,943.663073,753.5768429,842.6532792,965.3793784,846.9209015,933.1250606,881.1622367
TOPORS-AS1,81.02543567,95.60386809,73.67894881,75.68787525,96.00483633,79.6340146,70.52189706,79.28685121,104.1371341,58.82803867,70.76788109,98.02036468
NDUFB6,515.7960661,471.048225,511.715439,501.55832,714.9296322,598.2505347,494.6607351,759.6786674,767.4250064,452.3673318,447.8595903,538.0909603
TAF1L,315.208707,267.8900054,339.1250246,261.3754625,291.0784931,283.696177,286.1174109,380.7612738,349.0001251,282.9831515,358.8942541,298.1452759
LOC107987060,0,0,2.018601337,0,0,0,0,0,0,0,0,0
APTX,1778.607124,1749.749961,1721.866941,1846.784156,1795.494705,1635.483575,1824.502223,1685.306558,1620.223699,1485.915115,1621.595447,1477.452788
DNAJA1,8007.68452,8169.151353,8549.785964,7396.21917,7446.502784,7358.182949,10442.27804,10677.91059,11623.01761,8455.009144,8808.579256,8004.996449
SMU1,1980.182598,2116.231455,2068.05707,1956.783868,1902.73415,1806.696706,2317.148046,2024.580526,1952.336722,1761.79833,1936.007033,1786.829565
B4GALT1,3609.584347,3837.101081,3793.961213,4426.226945,4403.966535,4479.413321,3511.990474,2743.693828,2507.73477,3293.355889,3818.432669,3674.74263
B4GALT1-AS1,1.976230138,6.971115381,7.06510468,16.14674672,2.042656092,4.977125913,8.059645378,13.82910196,13.13441331,9.128488759,0,3.063136396
SPINK4,0.988115069,0,0,1.00917167,0,0,0,0,0,0,1.01096973,0
BAG1,634.3698744,514.8666646,505.659635,500.5491483,556.6237851,560.4243778,381.8256998,621.3876479,643.5862523,518.2953062,438.7608627,478.8703233
CHMP5,1512.804171,1595.389549,1790.499386,1353.29921,1385.942159,1673.309732,1550.47428,2285.489583,2306.965881,1792.226626,1774.251876,1610.188699
NFX1,2509.812275,2794.421394,2578.763208,1905.316113,1960.949848,1851.490839,2661.697886,2165.637366,2199.076057,2383.549843,2389.932441,2490.32989
LOC105376018,1.976230138,3.983494504,2.018601337,5.04585835,3.063984138,5.972551095,4.029822689,0,0.938172379,1.014276529,6.065818379,2.042090931
AQP7,0,1.991747252,2.018601337,1.00917167,3.063984138,3.98170073,0,0,0,2.028553057,0,0
AQP3,48.41763839,103.5708571,70.6510468,700.365139,686.332447,553.4564015,22.16402479,5.531640782,8.443551415,28.3997428,24.26327351,24.50509117
NOL6,2031.564582,1830.415724,2059.982665,2784.304638,2349.054506,2372.09821,5398.954948,5015.354309,5007.025989,2640.161804,2469.79905,2552.613664
MIR6851,3.952460276,2.987620878,4.037202674,2.01834334,0,1.990850365,3.022367017,5.531640782,2.814517138,6.085659172,2.02193946,3.063136396
LOC107987061,0,0.995873626,3.027902006,2.01834334,1.021328046,2.986275548,2.014911345,0,3.752689518,0,1.01096973,2.042090931
