"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"UHRF1BP1L",1759.4451456351,0.173172592117899,0.0669748042591922,2.58563789821202,0.0097198983243842,0.0319854997832011
"TMTC2",362.030828167492,-0.298040367076423,0.115346074236684,-2.58387959060365,0.00976958950848192,0.0321410264485909
"NPIPA5",439.329430041007,-0.304950342330134,0.118043454040274,-2.58337359584625,0.00978393121496432,0.0321802082615978
"RAB40C",222.431476096551,-0.452686110473564,0.175267686073837,-2.58282699232337,0.00979944499823236,0.0322232247059172
"FBXO17",3516.07555243789,-0.150121803514446,0.0581392695593063,-2.58210680409926,0.00981991895608475,0.0322825261184878
"MSRB2",391.488216448134,-0.311299993183293,0.120586792803493,-2.58154301931376,0.00983597317021473,0.0323225053512275
"WTAP",1046.28441094994,0.198160302328666,0.0767614461949402,2.58150819391061,0.00983696561739669,0.0323225053512275
"TRAPPC9",1048.83517904073,-0.216241105175652,0.083772885642801,-2.58127798172886,0.0098435284016118,0.0323360396748082
"TRNN",2026.31969941526,0.245264109365387,0.0950671786815996,2.57990310396009,0.0098828040789057,0.0324570026239961
"TM9SF2",13150.4514677739,0.150492983957775,0.0583360497757468,2.57975959181834,0.00988691177949045,0.0324624358973245
"ELAC2",4537.90736085675,0.141107386904834,0.054706867892722,2.57933587390783,0.00989904859412197,0.0324942225247883
"TCF7",1430.93564365111,-0.220663173490406,0.0855553147702077,-2.57918720868579,0.00990331004868818,0.032500148453433
"LOC101927780",47.8437574515014,0.776321346336196,0.301071827022156,2.57852537719866,0.00992230113700211,0.0325543983746124
"SLC35B4",4469.86897661273,0.152385298155594,0.059104871682573,2.57821891525271,0.0099311059702035,0.0325752092706328
"LOC100506321",155.582581004044,-0.430616358500375,0.167040463484709,-2.57791644920689,0.00993980282295711,0.032595655750525
"LAPTM5",146.893100137009,-0.461426876890755,0.179013241840046,-2.57761309804698,0.00994853193920397,0.0326161978740205
"DUSP18",512.454800528734,-0.286315514089359,0.111110001397395,-2.57686536304978,0.00997007764191364,0.032678738508249
"FLJ10038",225.848960764647,0.378423045674069,0.146907047356631,2.57593527664749,0.00999693573070261,0.032758180300258
"RNASEK",6263.80985743683,0.200351332474848,0.077780526261531,2.57585467860145,0.00999926619050347,0.032758180300258
"UNC5C",16.7419369943556,1.28544065172672,0.499051910676533,2.57576541483256,0.0100018477808772,0.0327585271872691
"SSR1",10272.6270814381,0.154491297028495,0.0599827477158465,2.57559553224136,0.0100067625818633,0.0327665138538025
"CPEB3",192.027932680502,-0.401272740914653,0.155825445254252,-2.57514259150626,0.0100198769322815,0.0328013388342279
"TRIM22",824.778750709254,-0.213314594834642,0.0828713390577775,-2.57404546927763,0.0100517062432513,0.0328973972324266
"PPA2",981.191468750985,0.213346291440201,0.0828999563821363,2.57353924840151,0.0100664228746557,0.0329374153010496
"STAMBP",2245.16869374983,-0.162710283397321,0.0632347370293743,-2.57311552227595,0.0100787560040669,0.0329696166738722
"HN1",6298.84407772393,-0.136687724238607,0.0531302162138913,-2.57269279101615,0.0100910735832887,0.0330017512738696
"MRPL43",1681.77355902288,0.216698882900954,0.0842358038006214,2.57252703866708,0.0100959069466246,0.0330093997325764
"ITGA4",50.1028885851331,0.777750263952223,0.302555329759401,2.57060506774317,0.010152102632471,0.0331768708070409
"CREB3L2",2814.64447648607,-0.174625688542211,0.0679317811944975,-2.57060370671328,0.0101521425255221,0.0331768708070409
"PDHX",2189.12440677366,0.198141074075368,0.0770823418098914,2.5705118633272,0.0101548348630547,0.0331774752859112
"LCMT2",484.063308838913,0.273575188648552,0.10644676445168,2.57006579822102,0.0101679200559343,0.0332120262108423
"EVL",694.020036120126,-0.283741915182691,0.110417974006907,-2.56970767426817,0.010178436382097,0.0332381713247549
"MESDC1",207.855050221417,-0.468484859877394,0.182327631658608,-2.56946714886633,0.0101855048562236,0.0332530471891316
"SARNP",1199.84179734595,-0.226565343717493,0.0882148662834059,-2.5683351714167,0.0102188297173482,0.0333536149037867
"TIMM22",508.054698701884,0.278163801099844,0.108309184422084,2.56823835009071,0.0102216845907136,0.0333547054264666
"NME7",1604.88095344253,-0.197505914016772,0.0769098834459867,-2.56801733623065,0.0102282040651455,0.0333677505399421
"ACSS2",1559.40172460915,-0.196681262173219,0.0765995745363478,-2.56765476001294,0.0102389073683114,0.0333944348773717
"DAAM2",99.7729575994279,-0.526945804791079,0.205309945634406,-2.56658684099701,0.0102704904472219,0.0334891891566388
"LRRK2",737.01440057131,-0.254093454480543,0.0990620720672668,-2.56499232428738,0.0103178087472558,0.0336351922502314
"PRTG",177.135876615881,0.4618622177343,0.180127250658206,2.56408853211605,0.0103447154241696,0.0337145996287223
"BIRC5",10631.9619428215,-0.147665935819958,0.057592972148227,-2.56395755093018,0.0103486200238609,0.0337190199841731
"FARSB",4782.43691599157,0.139490253523347,0.054437543053816,2.56239069028978,0.010395430533152,0.0338632045333993
"MTRF1",326.724017949409,0.345639708351427,0.13490665234004,2.56206571252116,0.0104051629160618,0.0338865655194017
"PTPN9",2530.57547203475,-0.153517937185697,0.0599292877599524,-2.56165128810834,0.0104175857943985,0.0339186750077464
"TBC1D14",4173.57042397043,0.142796793595722,0.0557494778808015,2.5614014520645,0.0104250813095927,0.0339347296158748
"CYP2R1",324.125792846256,-0.335256865355766,0.130902649109434,-2.56111597157589,0.0104336520939963,0.033954275579872
"TM6SF1",217.156187005436,-0.397851341637028,0.155417219990165,-2.55989228003309,0.0104704612172402,0.0340656854749254
"NEK7",1072.12252624987,0.192074159529986,0.0750567194371996,2.55905348608655,0.0104957591623813,0.0341395981407644
"EFNA4",267.692055171572,0.374748574733828,0.146454888087121,2.55879868284699,0.0105034547639996,0.034156233334294
"TSR2",989.92359622746,0.240741453974526,0.0940890615539091,2.55865506572825,0.0105077945190403,0.034161950141509
"LOC101929479",35.0205816615803,-0.874061779361865,0.341634491028256,-2.55847053595526,0.0105133728949251,0.0341716900382337
"G3BP1",3354.92233313414,-0.153181962191066,0.0598774386577865,-2.55825842963217,0.0105197881702579,0.0341841446632742
"SLC25A13",7189.77002399735,0.138230843227283,0.0540488930441009,2.55751478785133,0.0105423075501047,0.0342489107544771
"DCUN1D4",2945.60322532663,0.18145187700379,0.0709569143179354,2.55721205957127,0.0105514872128478,0.03426419207373
"FAM127A",2154.23220865406,-0.204076923722432,0.0798051818662981,-2.55718888109713,0.0105521903491876,0.03426419207373
"RSC1A1",488.664285024126,-0.278276299889388,0.108883868456522,-2.55571650634827,0.0105969414396122,0.0344010621022936
"INTS5",950.042950028037,0.20970874235728,0.0820596017362102,2.55556617288263,0.010601520131096,0.0344074845167187
"ST7L",721.427851811601,0.232670006812831,0.0910529000808572,2.55532779962213,0.0106087838487931,0.0344226159605762
"TIMM44",950.112871842278,-0.218678525502628,0.0855854711374154,-2.5550893463158,0.0106160544337158,0.0344377622620564
"FGF11",78.8040424984564,-0.60194673655517,0.235723524232103,-2.55361334222404,0.0106611573781526,0.0345755966734596
"CLTA",5829.46799808667,0.163132970771995,0.0638866241137932,2.55347614676629,0.0106653583667527,0.034580745383208
"ZNF394",453.391105864932,0.281120896089153,0.110113620259232,2.55300747925035,0.0106797202889988,0.0346134351308389
"BCAS2",847.573108403788,0.240655255819699,0.0942645818069117,2.55297643300056,0.0106806722822865,0.0346134351308389
"RSL1D1",5246.42757420314,0.132245827900155,0.0518041944032002,2.55280155253193,0.0106860361765546,0.0346223385622357
"IRAK2",612.487744146135,0.249694707560751,0.0978343620740808,2.55221889597114,0.0107039245759832,0.0346718066069547
"SIK3",1395.67180414875,0.204675238310356,0.0802157571324777,2.55155901567234,0.0107242160049612,0.0347290323489099
"ITPKC",251.182134547359,-0.364881928743334,0.143057510039684,-2.55059611090753,0.0107538868526899,0.0348165967298244
"SRD5A1",2608.80274064733,0.156476006640418,0.0613558993534292,2.5503009211725,0.0107629974034861,0.0348375688950411
"RAB28",1098.45014358627,-0.217840238835263,0.0854414288445996,-2.54958562586155,0.0107851022944652,0.0349005804745326
"ALDH1B1",1109.96452525308,-0.218890881686402,0.0858732950550943,-2.5489982834124,0.010803283202416,0.0349508663409213
"VPRBP",2740.50974344728,0.16648528990958,0.0653185093268034,2.54882255620097,0.0108087280477342,0.0349524649492373
"DPY19L4",2481.45418764842,0.182346581383211,0.0715417980071446,2.54881183395755,0.010809060351593,0.0349524649492373
"TAGLN3",39.9635364918266,0.849186411489172,0.333189755913228,2.54865702326792,0.0108138592580585,0.0349594394582532
"RNASE4",155.917400797294,-0.469055374143079,0.184051899218259,-2.54849515889454,0.0108188788437091,0.034967123805559
"FHL2",7053.06398304957,0.200628778342626,0.078729793833368,2.54832089065618,0.0108242854015722,0.0349760548067408
"IL15RA",594.248962364179,-0.241854872538853,0.0949210512655792,-2.54795821700466,0.0108355448144926,0.0350038889124428
"TRAPPC8",3701.38421037603,0.149530124197831,0.0587116682316729,2.54685531345819,0.0108698490860178,0.0351061369553791
"MUC1",232.991766618354,0.362685808172787,0.142452517540905,2.54601192336698,0.0108961466501417,0.0351824823022632
"COQ5",960.397458290967,0.229644207604301,0.0902067372813089,2.54575450266156,0.0109041844848167,0.0351998460851657
"WRN",958.038792729969,-0.213885442623778,0.0840525515922227,-2.54466329185857,0.0109383155489392,0.0353014125228204
"PHF11",241.729405966375,-0.376347595704146,0.147909557478428,-2.54444406514457,0.0109451839982721,0.0353149657803307
"MELK",5567.08561430291,-0.151068057929492,0.0593888494428655,-2.54371080340302,0.0109681852007204,0.0353805525538596
"MAGEF1",607.071369323046,-0.255518311971033,0.100463105618672,-2.54340447070096,0.0109778070618941,0.0354029595522747
"ABHD15",265.714777138843,0.364165461536329,0.143199841333766,2.54305771671593,0.0109887075986143,0.0354294783004055
"LOC100289511",496.678423058636,0.284895492879749,0.112040841884069,2.54278250760144,0.0109973658998504,0.0354487565375933
"RAPGEF2",1453.04781972199,0.18596456160218,0.0731451057047229,2.54240608186274,0.011009218373498,0.035478318927941
"EMP2",1732.08396771011,-0.199629479006147,0.078528928410667,-2.54211388142449,0.0110184266781716,0.0354993478951953
"HOXB3",519.94014314678,-0.264581793161365,0.104095176268806,-2.5417296232645,0.0110305464748135,0.0355297446335765
"CABLES1",1313.479609162,0.181519730635394,0.0714214317070084,2.54153027035416,0.0110368388834973,0.0355413609409677
"PIGP",840.888646111139,0.243036481439096,0.0956775406150488,2.54016229803539,0.0110801038844455,0.0356720035520641
"UAP1L1",767.011438874298,0.221960555482476,0.0873834896976947,2.54007428920902,0.011082892500083,0.0356723020095106
"CDK5RAP1",1526.00150067981,0.197383795474292,0.0777491656819334,2.53872557657758,0.0111257053744725,0.0358013943373104
"MAN1A1",2323.09127590625,-0.172837657587283,0.0680953601592122,-2.53817084134918,0.0111433572139269,0.0358494779126381
"NPHP4",1208.54074946698,-0.188450765897697,0.0742921127775849,-2.53661874527487,0.0111928776100225,0.0359955434055592
"THYN1",420.317559145239,0.28604080788364,0.112766443365535,2.53657736598496,0.0111942005073969,0.0359955434055592
"RIPK2",3168.40822185617,0.146036136538629,0.0576001092637431,2.53534478328764,0.0112336699475713,0.0361136833688687
"NR4A2",134.37943047557,-0.462177223755895,0.18232565104904,-2.53489962107188,0.0112479551634484,0.0361437651397473
"MN1",134.511129242895,-0.475501262602711,0.187583123810528,-2.53488295185339,0.0112484903903778,0.0361437651397473
"ISYNA1",159.168362710523,-0.440242281094428,0.17372151116736,-2.53418404051475,0.0112709518880762,0.0362007603804706
"DNHD1",323.214418367581,-0.319801369638882,0.126196163727133,-2.53416078741007,0.0112716998766278,0.0362007603804706
"ATRAID",4192.15318375598,-0.145722528767469,0.0575138108203552,-2.53369628423048,0.0112866509065289,0.0362399817508349
"USP2",47.5695205233932,0.916679505554402,0.361881390384748,2.5330937978872,0.011306069451011,0.0362935252245941
"TMC4",27.1939241917857,-1.03838764519504,0.410162554912316,-2.53164905659666,0.0113527553486905,0.0364345522129208
"AGPS",8221.95515161193,0.129485673677112,0.0511504027239788,2.53146929019995,0.0113585763421368,0.0364443943159926
"LRPPRC",10098.1317019185,0.143181785075527,0.0565753988419329,2.53081353391013,0.0113798327741132,0.0365037447920161
"CDKN2AIPNL",477.113327657309,-0.266902239131176,0.105492690262986,-2.53005434277776,0.0114044861633627,0.036573960473489
"GALNS",1652.52567369658,-0.182372565144569,0.0720910818202843,-2.52975209332001,0.0114143143674173,0.036596609573459
"EFCAB11",183.952867576222,-0.404582654118348,0.15999037199781,-2.5287937584387,0.0114455261405283,0.0366877911558796
"TRIM16",1548.91577355346,0.179803409017357,0.0711063574206614,2.52865447675304,0.0114500686709497,0.0366934629823217
"BTG3",1115.4376739507,-0.261470543526319,0.103424772714105,-2.52812296962059,0.0114674179431989,0.0367401632504618
"ZFP69B",130.109120810363,-0.453758321004121,0.179491256439101,-2.52802465148533,0.0114706297657625,0.0367415572647228
"PRPF4",4705.19841308906,0.154840006289785,0.0612604423998851,2.52756918206773,0.0114855193011297,0.0367724299645776
"KDM2A",5351.26181200563,0.133215917251806,0.0527053474134966,2.52755979780702,0.0114858262578295,0.0367724299645776
"SYBU",108.143470718087,-0.532399585567544,0.210673708156467,-2.52712875387436,0.011499933441694,0.0368086887519341
