id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC105369456	0.431008479401275	-2.15184358326036	2.0103922410122	-1.07036007171264	0.284457264500628	1
LOC105369458	0.356151672487813	-0.653149381616781	2.09020255585175	-0.312481381188736	0.754674710813344	1
LOC105369460	0.930256256822261	-0.251852018196558	1.33474088617876	-0.188689820477132	0.850335930354873	1
LOC105369463	0.0432360651651049	-0.644911851554385	3.10473999467078	-0.207718473257458	0.835448792701046	1
LOC105369464	0.695530474668636	-0.126460430661295	1.29836979935069	-0.0973993932426169	0.922409226561362	1
LOC105369466	0.036832877509547	-0.953893221614536	3.10671589701821	-0.307042308738327	0.758811168844337	1
LOC105369467	0.0313981295646653	-0.904990704385917	3.10671589701821	-0.291301404565032	0.770820813318375	1
LOC105369468	0.162283232031983	0.605418270083882	3.07823346314266	0.196677177781633	0.84408017074433	1
LOC105369469	0.0605322631576713	-1.65811584873658	3.10671589701821	-0.53371981980329	0.593535394485657	1
LOC105369475	0.179622355791614	-0.702666800196834	3.10233188031914	-0.226496334790767	0.820815409584688	1
LOC105369483	0.0281306568899604	-0.904990704385917	3.10671589701821	-0.291301404565032	0.770820813318375	1
LOC105369484	0.0469673278708325	-0.953893221614536	3.10671589701821	-0.307042308738328	0.758811168844337	1
LOC105369486	2.74169534213778	0.531326907740746	0.677047337417307	0.784770692353015	0.432588026433686	1
LOC105369487	1.05031229320707	-0.657477352797829	1.23700527699099	-0.531507314501634	0.595067273949728	1
LOC105369489	0.251542534209716	0.450193655473739	2.68898714256535	0.16742127485379	0.867038586510783	1
LOC105369490	0.117931425568324	-1.87329705841616	3.10671589701821	-0.602983060090601	0.546519958504489	1
LOC105369494	0.315268897555774	-1.25330778581142	2.15562342638973	-0.581413140378827	0.56096204335568	1
LOC105369501	0.0313981295646653	-0.904990704385917	3.10671589701821	-0.291301404565032	0.770820813318375	1
LOC105369507	0.0216180325825524	-0.953893221614536	3.10671589701821	-0.307042308738327	0.758811168844337	1
LOC105369509	1.56551672610675	0.937700371157905	0.873642595322696	1.07332263350959	0.283126383505656	1
LOC105369512	0.246109703535424	-0.939226330198881	2.66524105439595	-0.352398267559985	0.724539601052107	1
LOC105369513	0.0562613137799207	-0.464851804172075	3.10671589701821	-0.149628037960675	0.881058086112465	1
LOC105369515	0.918097695563951	1.43419390509887	1.1615337895087	1.23474144106088	0.216926747450439	1
LOC105369517	0.0590783180085924	-0.464851804172074	3.10671589701821	-0.149628037960675	0.881058086112465	1
LOC105369519	0.300451864712271	-0.901986499604895	1.75658350764885	-0.513489108646013	0.607609227463821	1
LOC105369520	0.679600972664433	-1.20133493275859	1.56678619364455	-0.766751033186044	0.443229555040953	1
LOC105369525	0.145170542965245	-1.26687946575135	3.10671589701821	-0.40778735737223	0.683429796155678	1
LOC105369526	0.303185579428305	-2.25441821488045	2.47838799546617	-0.909630864499249	0.363017215714434	1
LOC105369528	0.515692034407045	-2.032533249529	2.00742351576614	-1.0125084385859	0.311295013973894	1
LOC105369529	0.536086137615731	-2.67154527697697	1.92717303266716	-1.38625086159472	0.165670315661665	1
LOC105369530	0.526770306095423	-1.71674289031051	1.94208715877177	-0.883967994204868	0.376713490451841	1
LOC105369531	0.136525120592557	-1.26687946575135	3.10671589701821	-0.40778735737223	0.683429796155678	1
LOC105369532	0.293448154332663	-1.30058385051479	2.55276178238743	-0.509481088085878	0.610415051146107	1
LOC105369533	0.187345903619198	-0.742388698158799	3.10406298413793	-0.239166763674732	0.810976273609685	1
LOC105369534	0.0589657127841621	-1.60921333150796	3.10671589701821	-0.517978915629994	0.604472980163046	1
LOC105369535	0.0519796722063324	-0.953893221614536	3.10671589701821	-0.307042308738327	0.758811168844337	1
LOC105369536	1.14773226758526	1.22976277825942	1.01855018441583	1.20736591782635	0.227291255008149	1
LOC105369539	0.130833187124474	-0.702666800196834	3.10233188031914	-0.226496334790767	0.820815409584688	1
LOC105369540	0.118065369247677	-1.21797694852273	3.10671589701821	-0.392046453198934	0.695023890898655	1
LOC105369545	0.0931908707589125	-1.65811584873658	3.10671589701821	-0.53371981980329	0.593535394485657	1
LOC105369547	3.36396201547568	-0.696393544766128	0.637533945118361	-1.09232386776964	0.274690773056616	1
LOC105369549	0.455524816079204	0.881792525561702	1.64745191062448	0.535246291485043	0.592479559941285	1
LOC105369551	1.49984826938085	-0.433721002691071	0.859553627700143	-0.50458864777472	0.613847784870439	1
LOC105369552	5.72365103484647	0.397370361627125	0.486066667682246	0.817522344253601	0.413629985455024	1
LOC105369554	0.116826096662283	-1.60921333150796	3.10671589701821	-0.517978915629994	0.604472980163046	1
LOC105369558	0.986949235198009	1.07823224738234	1.45916058681117	0.738940084544561	0.459943380473811	1
LOC105369559	3.25202239320907	-0.556094805835906	0.552662142908426	-1.0062111417826	0.31431401366342	1
LOC105369560	9.45116138981562	-0.6063117205796	0.509117155057349	-1.19090805437759	0.233689682258978	1
LOC105369561	3.8530784555739	-0.0790330908982855	0.568039147396443	-0.139133176402589	0.889344912203331	1
LOC105369563	0.492555658546022	-0.225412483416011	2.03490926453816	-0.110772744192685	0.911796559292054	1
LOC105369564	0.197011144559248	-1.01922144802738	2.85351635104026	-0.357180868319124	0.720956407394338	1
LOC105369565	0.0590783180085924	-0.464851804172074	3.10671589701821	-0.149628037960675	0.881058086112465	1
LOC105369568	0.525886052830983	-0.497376173692597	1.64279093761163	-0.302762915417409	0.762070546930013	1
LOC105369574	0.108285272265564	-1.26687946575135	3.10671589701821	-0.40778735737223	0.683429796155678	1
LOC105369575	0.275246882330955	-0.534178885416171	2.6128171526623	-0.204445567448865	0.838005324406144	1
LOC105369576	0.313668011692589	-1.00560465415436	2.17611140192517	-0.46211083369386	0.644001841525604	1
LOC105369578	0.0590783180085924	-0.464851804172074	3.10671589701821	-0.149628037960675	0.881058086112465	1
LOC105369579	0.216611625895727	-1.97844633465398	3.10631218717347	-0.636911622348632	0.524182411860596	1
LOC105369580	0.373341083433711	-0.972997165787142	2.13591781220867	-0.45554054572025	0.648720404901207	1
LOC105369582	0.128267585610605	-1.60921333150796	3.10671589701821	-0.517978915629994	0.604472980163046	1
LOC105369583	0.0295391590042962	-0.904990704385917	3.10671589701821	-0.291301404565032	0.770820813318375	1
LOC105369584	0.13002374826846	-1.26687946575135	3.10671589701821	-0.40778735737223	0.683429796155678	1
LOC105369586	0.19938448616602	-1.97844633465398	3.10631218717347	-0.636911622348632	0.524182411860595	1
LOC105369588	0.0680369279951433	-1.60921333150796	3.10671589701821	-0.517978915629994	0.604472980163046	1
LOC105369589	0.0605322631576713	-1.65811584873658	3.10671589701821	-0.53371981980329	0.593535394485657	1
LOC105369591	0.0281306568899604	-0.904990704385917	3.10671589701821	-0.291301404565032	0.770820813318375	1
LOC105369592	2.85799089561467	-0.699650230116134	0.709493062623734	-0.986126950316891	0.324070820181613	1
LOC105369594	1.62439228564159	0.409839432591199	1.06197959380741	0.385920252122587	0.699555731302629	1
LOC105369595	0.0903638423488274	-1.16907443129412	3.10671589701821	-0.376305549025638	0.706689754459839	1
LOC105369597	0.14944216035742	-0.430182304329142	3.08778434408617	-0.139317470519935	0.889199285030362	1
LOC105369602	0.346668958732047	-2.51303719791943	3.09932600761921	-0.81083344951177	0.417461322518537	1
LOC105369606	4.87488105277792	-0.682949590959048	0.497216954183425	-1.37354445622364	0.169583150684981	1
LOC105369608	0.166064279596853	-0.795487163170826	2.98950352069145	-0.266093402354259	0.790167276048216	1
LOC105369609	0.140597149219221	0.266904166457694	3.08683306629014	0.086465371053728	0.931096482842015	1
LOC105369611	11.9312502510848	-0.567166721992953	0.404632957762484	-1.40168197155575	0.161010236579319	1
LOC105369614	0.0295391590042962	-0.904990704385917	3.10671589701821	-0.291301404565032	0.770820813318375	1
LOC105369617	0.179238410375411	-1.48206164149786	2.91381456869205	-0.508632792704832	0.611009638738207	1
LOC105369618	0.853081116110083	-1.76893630709223	1.39725374803617	-1.26600934839391	0.205509735371871	1
LOC105369620	0.400504480904543	-1.58125279280073	1.82838077505287	-0.864837792201684	0.387127825119534	1
LOC105369621	0.742724123741148	-0.381147822925076	1.30606553866877	-0.291829017488331	0.770417357730008	1
LOC105369622	0.0313981295646653	-0.904990704385917	3.10671589701821	-0.291301404565032	0.770820813318375	1
LOC105369623	0.747533120146242	-1.47121638009425	1.70041321188106	-0.865211096817307	0.386922935836329	1
LOC105369624	0.0866672396830116	-1.65811584873658	3.10671589701821	-0.53371981980329	0.593535394485657	1
LOC105369625	0.265305258077593	-1.76717154794683	2.61409579669178	-0.676016368712744	0.499030252531342	1
LOC105369626	1.7234510690581	-1.16588691284949	0.867845034376798	-1.34342753218231	0.179133576812309	1
LOC105369631	0.344304035613369	0.942857175309286	1.63570123720434	0.576423832093429	0.564328739634735	1
LOC105369634	0.0630320116881034	-1.60921333150796	3.10671589701821	-0.517978915629994	0.604472980163046	1
LOC105369635	0.587704123686418	-1.91899842365367	1.45443971666183	-1.31940733030729	0.187032972447986	1
LOC105369645	0.327283725130322	-0.749431545599271	2.9343363355239	-0.255400697093392	0.798413632437622	1
LOC105369647	4.08598754475001	0.104795587492554	0.513378616721062	0.20412924122528	0.838252504205831	1
LOC105369649	0.0996922430830099	-1.65811584873658	3.10671589701821	-0.53371981980329	0.593535394485657	1
LOC105369650	0.0295391590042962	-0.904990704385917	3.10671589701821	-0.291301404565032	0.770820813318375	1
LOC105369652	0.364452262540191	-0.673785556599095	2.10855441348627	-0.319548574269451	0.749310563524322	1
LOC105369653	4.49819370261744	-0.225871365586065	0.55316528102037	-0.40832527516807	0.683034885555219	1
LOC105369655	0.0313981295646653	-0.904990704385917	3.10671589701821	-0.291301404565032	0.770820813318375	1
LOC105369656	0.108305812947864	-1.65811584873658	3.10671589701821	-0.53371981980329	0.593535394485657	1
LOC105369657	0.381954606442658	0.729203920416299	2.0821907054322	0.350209958441314	0.726181133682607	1
LOC105369660	0.92470763755503	1.56824146483392	1.10394070831915	1.42058486748053	0.155437480297469	1
LOC105369666	0.0605322631576713	-1.65811584873658	3.10671589701821	-0.53371981980329	0.593535394485657	1
LOC105369667	3.4331879052348	-0.128723296163368	0.774444602095454	-0.166213691482999	0.867988785076422	1
LOC105369668	0.188364796994434	-0.299613430842799	2.90176127248151	-0.103252267401921	0.917762758156864	1
LOC105369669	0.778369137645819	-0.979349401101965	1.16102012003708	-0.843524917613559	0.398934936004256	1
LOC105369672	1.29882399908069	-1.08344481138067	0.962730910353281	-1.12538695883681	0.260425094883265	1
LOC105369673	0.711785639254649	-2.49309236607495	1.42078741784357	-1.75472581947473	0.0793062174112933	1
